node_id	label	source	color	specificity
BAN78446_1_KN2	KN2	virulent	#6a0dad	KN2
UCR74083_1_K27	KL27	virulent	#6a0dad	KL27
617_77	KL38	prophage	#e000e0	KL38
ALT58497_1_K47	KL47	virulent	#6a0dad	KL47
BBF66867_1_KN3	KN3	virulent	#6a0dad	KN3
YP_009153195_1_KN4	KN4	virulent	#6a0dad	KN4
AXE28435_1_KN1	KN1	virulent	#6a0dad	KN1
BBF66844_1_KN1	KN1	virulent	#6a0dad	KN1
0574_17	KL14	prophage	#e000e0	KL14
QOV05454_1_K64	KL64	virulent	#6a0dad	KL64
YP_009797016_1_K64	KL64	virulent	#6a0dad	KL64
YP_009153202_1_K64	KL64	virulent	#6a0dad	KL64
0496_72	KL122	prophage	#e000e0	KL122
YP_009153200_1_K35	KL35	virulent	#6a0dad	KL35
184_43	KL111	prophage	#e000e0	KL111
YP_009153199_1_K25	KL25	virulent	#6a0dad	KL25
1723_59	KL60	prophage	#e000e0	KL60
1091_44	KL64	prophage	#e000e0	KL64
1724_71	KL60	prophage	#e000e0	KL60
BBF66868_1_K56	KL56	virulent	#6a0dad	KL56
391_03	KL3	prophage	#e000e0	KL3
1251_37	KL28	prophage	#e000e0	KL28
