composition,count,frequency
Gal;Glc;GlcA;Man,17,0.20987654320987653
Gal;Glc;GlcA,13,0.16049382716049382
Gal;Glc;GlcA;Rha,6,0.07407407407407407
Glc;GlcA;Man,6,0.07407407407407407
Gal;GlcA;Rha,5,0.06172839506172839
Glc;GlcA;Rha,5,0.06172839506172839
Gal;GalA;Man,4,0.04938271604938271
Gal;GlcA;Man;Rha,3,0.037037037037037035
Gal;GlcA;Man,3,0.037037037037037035
Gal;Galf;Glc;GlcA;Rha,2,0.024691358024691357
Fru;Gal;Glc;GlcA,2,0.024691358024691357
Fru;Glc;GlcA,2,0.024691358024691357
GalA;Glc;Rha,2,0.024691358024691357
Gal;Glc;Rha,2,0.024691358024691357
Gal;Man,1,0.012345679012345678
Gal;Rha,1,0.012345679012345678
Galf;Glc;GlcA;Man,1,0.012345679012345678
Gal;Glc;Sug,1,0.012345679012345678
Fru;Glc;GlcA;Man,1,0.012345679012345678
Fru;Gal;GalA,1,0.012345679012345678
Glc;GlcA;Man;Rha,1,0.012345679012345678
Gal;Glc;GlcA;Man;Rha,1,0.012345679012345678
Glc;Rha,1,0.012345679012345678
