structure_id,K_type,DOI,Year,mw_struct_kda,Source,backbone_linkages_coarse,branch,core_bonds_all,core_bonds_unique,core_edges,core_monos_all,core_monos_unique,core_pairs,core_positions,branch_anchor_edges,branch_anchor_sites,branch_bonds_all,branch_bonds_unique,branch_edges,branch_monos_all,branch_monos_unique,branch_pairs,n_branch,monos_unique_all,mw_struct_kda_cat
CPS23_K22,K22,10.1016/0008-6215(88)84126-0,1988,0.8,KPAM,Glc(β1-3)Gal(β1-4)-OUT,GlcA(β1-6)Glc(α1-4)Gal(P2),b1-3; b1-4,b1-3; b1-4,Glc(b1-3)->Gal,Glc; Gal,Glc; Gal,Gal~~Glc,P1=Glc; P2=Gal,Glc(a1-4)->Gal@P2,Gal@P2,b1-6; a1-4,a1-4; b1-6,Glc(a1-4)->Gal; GlcA(b1-6)->Glc,GlcA; Glc,GlcA; Glc,Gal~~Glc; Glc~~GlcA,1,Glc; Gal; GlcA,medium
CPS28_K27a,K27a,10.1016/s0008-6215(00)85676-1,1980,1.078,KPAM,Glc(β1-3)Gal(α1-3)Gal(α1-6)Glc(β1-3)-OUT,Glc(β1-4)Gal(P3); GlcA(β1-6)Gal(P3),b1-3; a1-3; a1-6; b1-3,a1-3; a1-6; b1-3,Glc(b1-3)->Gal; Gal(a1-3)->Gal; Gal(a1-6)->Glc,Glc; Gal; Gal; Glc,Glc; Gal,Gal~~Gal; Gal~~Glc,P1=Glc; P2=Gal; P3=Gal; P4=Glc,Glc(b1-4)->Gal@P3; GlcA(b1-6)->Gal@P3,Gal@P3,b1-4; b1-6,b1-4; b1-6,Glc(b1-4)->Gal; GlcA(b1-6)->Gal,Glc; GlcA,Glc; GlcA,Gal~~Glc; Gal~~GlcA,2,Glc; Gal; GlcA,high
CPS62_K63,K63,10.1016/s0008-6215(00)83804-5,1979,0.504,KPAM,Gal(α1-3)GalA(α1-3)Fru(α1-3)-OUT,,a1-3; a1-3; a1-3,a1-3,Gal(a1-3)->GalA; GalA(a1-3)->Fru,Gal; GalA; Fru,Gal; GalA; Fru,Fru~~GalA; Gal~~GalA,P1=Gal; P2=GalA; P3=Fru,,,,,,,,,0,Gal; GalA; Fru,low
CPS14_K14,K14,10.1016/0008-6215(85)85127-2,1985,1.062,KPAM,GlcA(β1-3)Galf(β1-3)Glc(β1-4)Man(β1-4)-OUT,Rha(α1-3)Man; Glc(β1-2)Man(P2),b1-3; b1-3; b1-4; b1-4,b1-3; b1-4,GlcA(b1-3)->Galf; Galf(b1-3)->Glc; Glc(b1-4)->Man,GlcA; Galf; Glc; Man,GlcA; Galf; Glc; Man,Galf~~Glc; Galf~~GlcA; Glc~~Man,P1=GlcA; P2=Galf; P3=Glc; P4=Man,Glc(b1-2)->Man@P2,Man@P2,b1-2,b1-2,Glc(b1-2)->Man,Glc,Glc,Glc~~Man,1,GlcA; Galf; Glc; Man,high
CPS72_K74,K74,10.1016/s0008-6215(00)85196-4,1980,0.916,KPAM,Gal(β1-2)Man(α1-2)Man(α1-3)-OUT,Gal(β1-4)GlcA(α1-3)Man(P2),b1-2; a1-2; a1-3,a1-2; a1-3; b1-2,Gal(b1-2)->Man; Man(a1-2)->Man,Gal; Man; Man,Gal; Man,Gal~~Man; Man~~Man,P1=Gal; P2=Man; P3=Man,GlcA(a1-3)->Man@P2,Man@P2,b1-4; a1-3,a1-3; b1-4,Gal(b1-4)->GlcA; GlcA(a1-3)->Man,Gal; GlcA,Gal; GlcA,Gal~~GlcA; GlcA~~Man,1,Gal; Man; GlcA,medium
CPS75_K81,K81,10.1016/s0008-6215(00)84101-4,1975,0.942,KPAM,Rha(α1-3)Rha(α1-4)GlcA(β1-2)Rha(α1-3)Rha(α1-3)Gal(β1-2)-OUT,,a1-3; a1-4; b1-2; a1-3; a1-3; b1-2,a1-3; a1-4; b1-2,Rha(a1-3)->Rha; Rha(a1-4)->GlcA; GlcA(b1-2)->Rha; Rha(a1-3)->Rha; Rha(a1-3)->Gal,Rha; Rha; GlcA; Rha; Rha; Gal,Rha; GlcA; Gal,Gal~~Rha; GlcA~~Rha; Rha~~Rha,P1=Rha; P2=Rha; P3=GlcA; P4=Rha; P5=Rha; P6=Gal,,,,,,,,,0,Rha; GlcA; Gal,medium
CPS31_K30,K30,10.1016/0008-6215(79)80031-2,1979,0.916,KPAM,Glc(β1-4)Man(β1-4)Man(β1-4)-OUT,Gal(β1-6)Man(P2); GlcA(α1-3)Man(P2),b1-4; b1-4; b1-4,b1-4,Glc(b1-4)->Man; Man(b1-4)->Man,Glc; Man; Man,Glc; Man,Glc~~Man; Man~~Man,P1=Glc; P2=Man; P3=Man,Gal(b1-6)->Man@P2; GlcA(a1-3)->Man@P2,Man@P2,b1-6; a1-3,a1-3; b1-6,Gal(b1-6)->Man; GlcA(a1-3)->Man,Gal; GlcA,Gal; GlcA,Gal~~Man; GlcA~~Man,2,Glc; Man; Gal; GlcA,medium
CPS56_K57,K57,10.3891/acta.chem.scand.29b-0593,1975,0.682,KPAM,Gal(β1-3)GalA(α1-2)Man(α1-3)-OUT,Man(α1-4)GalA(P2),b1-3; a1-2; a1-3,a1-2; a1-3; b1-3,Gal(b1-3)->GalA; GalA(a1-2)->Man,Gal; GalA; Man,Gal; GalA; Man,GalA~~Man; Gal~~GalA,P1=Gal; P2=GalA; P3=Man,Man(a1-4)->GalA@P2,GalA@P2,a1-4,a1-4,Man(a1-4)->GalA,Man,Man,GalA~~Man,1,Gal; GalA; Man,low
CPS54_K55,K55,10.1016/s0008-6215(00)83701-5,1978,0.71,KPAM,Glc(β1-4)Rha(α1-3)-OUT,Rha(α1-3)Gal(α1-3)Rha(P2),b1-4; a1-3,a1-3; b1-4,Glc(b1-4)->Rha,Glc; Rha,Glc; Rha,Glc~~Rha,P1=Glc; P2=Rha,Gal(a1-3)->Rha@P2,Rha@P2,a1-3; a1-3,a1-3,Gal(a1-3)->Rha; Rha(a1-3)->Gal,Rha; Gal,Rha; Gal,Gal~~Rha,1,Glc; Rha; Gal,medium
CPS27_K26,K26,10.1016/s0008-6215(00)80399-7,1981,1.24,KPAM,Gal(β1-2)GlcA(α1-3)Man(α1-2)Man(α1-3)-OUT,Gal(β1-4)Glc(β1-6)Glc(α1-4)GlcA(P2),b1-2; a1-3; a1-2; a1-3,a1-2; a1-3; b1-2,Gal(b1-2)->GlcA; GlcA(a1-3)->Man; Man(a1-2)->Man,Gal; GlcA; Man; Man,Gal; GlcA; Man,Gal~~GlcA; GlcA~~Man; Man~~Man,P1=Gal; P2=GlcA; P3=Man; P4=Man,Glc(a1-4)->GlcA@P2,GlcA@P2,b1-4; b1-6; a1-4,a1-4; b1-4; b1-6,Gal(b1-4)->Glc; Glc(a1-4)->GlcA; Glc(b1-6)->Glc,Gal; Glc; Glc,Gal; Glc,Gal~~Glc; Glc~~Glc; Glc~~GlcA,1,Gal; GlcA; Man; Glc,high
