structure_id_1,structure_id_2,K_type_1,K_type_2,path_jaccard_core,path_jaccard_branch,path_jaccard_total
CPS10_K10,CPS33_K32,K10,K32,0.014,0.0,0.014
CPS24_K23,CPS53_K54,K23,K54,0.026,0.091,0.043
CPS9_K9,CPS36_K35,K9,K35,0.019,0.143,0.035
CPS22_K21b,CPS26_K25,K21b,K25,0.031,0.182,0.05
CPS5_K5,CPS72_K74,K5,K74,0.036,0.0,0.059
CPS45_K45,CPS66_K68,K45,K68,0.0,0.0,0.0
CPS20_K20,CPS49_K49,K20,K49,0.25,0.083,0.154
CPS46_K46,CPS72_K74,K46,K74,0.108,0.125,0.146
CPS41_K40,CPS63_K64,K40,K64,0.022,0.0,0.032
CPS43_K43,CPS45_K45,K43,K45,0.0,0.091,0.02
