source	target	interaction	tm_max	tm_class
KL4_03_wcuG	PROTEIN05_GWAS_AC_K111	structural_similarity	0.7711	high (>= 0.6)
KL39_14	KL43_15_wcpZ	structural_similarity	0.7602	high (>= 0.6)
KL39_14	KL4_03_wcuG	structural_similarity	0.7495	high (>= 0.6)
KL39_14	KL177_17	structural_similarity	0.7412	high (>= 0.6)
KL39_14	KL51_14_wcoZ	structural_similarity	0.7398	high (>= 0.6)
KL39_14	KL124_17_wclK	structural_similarity	0.7249	high (>= 0.6)
KL4_03_wcuG	PROTEIN03_MOD_AC_K57	structural_similarity	0.7203	high (>= 0.6)
KL108_13	KL113_09	structural_similarity	0.7168	high (>= 0.6)
KL108_13	KL174_12_wcpF	structural_similarity	0.7125	high (>= 0.6)
KL177_17	KL124_17_wclK	structural_similarity	0.7106	high (>= 0.6)
KL4_03_wcuG	KL43_15_wcpZ	structural_similarity	0.7065	high (>= 0.6)
PROTEIN03_MOD_AC_K57	PROTEIN05_GWAS_AC_K111	structural_similarity	0.7016	high (>= 0.6)
KL174_12_wcpF	PROTEIN01_MOD_AC_K1	structural_similarity	0.7009	high (>= 0.6)
PROTEIN02_MOD_AC_K2	PROTEIN01_MOD_AC_K1	structural_similarity	0.7001	high (>= 0.6)
KL177_17	KL51_14_wcoZ	structural_similarity	0.6989	high (>= 0.6)
KL4_03_wcuG	KL177_17	structural_similarity	0.6985	high (>= 0.6)
PROTEIN02_MOD_AC_K2	KL174_12_wcpF	structural_similarity	0.6939	high (>= 0.6)
KL4_03_wcuG	KL124_17_wclK	structural_similarity	0.6937	high (>= 0.6)
KL39_14	PROTEIN05_GWAS_AC_K111	structural_similarity	0.6901	high (>= 0.6)
PROTEIN03_MOD_AC_K57	KL177_17	structural_similarity	0.6884	high (>= 0.6)
KL113_09	PROTEIN01_MOD_AC_K1	structural_similarity	0.6839	high (>= 0.6)
KL108_13	PROTEIN01_MOD_AC_K1	structural_similarity	0.6828	high (>= 0.6)
KL43_15_wcpZ	KL124_17_wclK	structural_similarity	0.6825	high (>= 0.6)
KL113_09	KL174_12_wcpF	structural_similarity	0.6821	high (>= 0.6)
PROTEIN02_MOD_AC_K2	KL113_09	structural_similarity	0.6807	high (>= 0.6)
KL39_14	PROTEIN03_MOD_AC_K57	structural_similarity	0.6802	high (>= 0.6)
KL39_14	KL168_20	structural_similarity	0.6801	high (>= 0.6)
KL4_03_wcuG	KL51_14_wcoZ	structural_similarity	0.6782	high (>= 0.6)
KL43_15_wcpZ	KL51_14_wcoZ	structural_similarity	0.6774	high (>= 0.6)
KL43_15_wcpZ	KL150_18	structural_similarity	0.6761	high (>= 0.6)
KL174_12_wcpF	KL131_13_wcpI	structural_similarity	0.6754	high (>= 0.6)
KL108_13	PROTEIN02_MOD_AC_K2	structural_similarity	0.6684	high (>= 0.6)
KL43_15_wcpZ	KL177_17	structural_similarity	0.6671	high (>= 0.6)
KL108_13	KL131_13_wcpI	structural_similarity	0.6665	high (>= 0.6)
PROTEIN03_MOD_AC_K57	KL124_17_wclK	structural_similarity	0.6625	high (>= 0.6)
KL4_03_wcuG	KL69_20_wcql	structural_similarity	0.6613	high (>= 0.6)
KL124_17_wclK	KL51_14_wcoZ	structural_similarity	0.6601	high (>= 0.6)
KL39_14	KL150_18	structural_similarity	0.6575	high (>= 0.6)
KL82_11_wcqN	KL174_12_wcpF	structural_similarity	0.6537	high (>= 0.6)
KL124_17_wclK	KL168_20	structural_similarity	0.652	high (>= 0.6)
KL177_17	PROTEIN05_GWAS_AC_K111	structural_similarity	0.6413	high (>= 0.6)
PROTEIN03_MOD_AC_K57	KL43_15_wcpZ	structural_similarity	0.6359	high (>= 0.6)
PROTEIN03_MOD_AC_K57	KL51_14_wcoZ	structural_similarity	0.6331	high (>= 0.6)
KL124_17_wclK	KL150_18	structural_similarity	0.6316	high (>= 0.6)
KL43_15_wcpZ	PROTEIN05_GWAS_AC_K111	structural_similarity	0.6301	high (>= 0.6)
KL69_20_wcql	PROTEIN05_GWAS_AC_K111	structural_similarity	0.6299	high (>= 0.6)
KL108_13	KL82_11_wcqN	structural_similarity	0.6292	high (>= 0.6)
KL150_18	KL51_14_wcoZ	structural_similarity	0.6282	high (>= 0.6)
PROTEIN05_GWAS_AC_K111	KL51_14_wcoZ	structural_similarity	0.6275	high (>= 0.6)
KL131_13_wcpI	PROTEIN01_MOD_AC_K1	structural_similarity	0.6254	high (>= 0.6)
KL124_17_wclK	KL69_20_wcql	structural_similarity	0.6196	high (>= 0.6)
KL177_17	KL168_20	structural_similarity	0.6193	high (>= 0.6)
KL4_03_wcuG	KL168_20	structural_similarity	0.615	high (>= 0.6)
PROTEIN03_MOD_AC_K57	KL69_20_wcql	structural_similarity	0.6142	high (>= 0.6)
KL113_09	KL131_13_wcpI	structural_similarity	0.6101	high (>= 0.6)
KL168_20	KL51_14_wcoZ	structural_similarity	0.6095	high (>= 0.6)
KL82_11_wcqN	KL113_09	structural_similarity	0.6087	high (>= 0.6)
KL4_03_wcuG	KL150_18	structural_similarity	0.6043	high (>= 0.6)
KL150_18	PROTEIN05_GWAS_AC_K111	structural_similarity	0.6037	high (>= 0.6)
