name	proteinID	type	specificity	label	cluster_id	cluster_size	contains_reference	members
KL108_13	KL108_13	KLOCI	KL108	KL108	4	13	False	KL143_16_wcsW,KL147_16,KL4_12_wcsW,KL5_11,KL144_15,KL178_14,KL58_13_wcqU,KL108_13,KL121_13_wcqU,KL113_10,KL6_10_wckB,KL16_11_lacA,KL54_10_wckB
KL39_14	KL39_14	KLOCI	KL39	KL39	13	11	False	KL49_11_wclK,KL137_14_wclK,KL35_16_wclK,KL39_14,KL165_12,KL134_12,KL116_17_wcpG,KL132_20_wcpG,KL160_20_wcpG,KL157_16,KL167_17
KL4_03_wcuG	KL4_03_wcuG	KLOCI	KL4	KL4	9	9	False	KL114_15,KL142_16_wcqA,KL44_16_wcqA,KL30_15_wcuG,KL69_15_wcuG,KL24_13_wcuG,KL4_03_wcuG,KL106_17,KL22_17
KL82_11_wcqN	KL82_11_wcqN	KLOCI	KL82	KL82	1	8	False	KL158_13_cysE,KL82_11_wcqN,KL20_09,KL132_17,KL160_17_cysE,KL8_08_wcsG,KL125_12_wcaG,KL151_09
PROTEIN02_MOD_AC_K2	PROTEIN02_MOD_AC_K2	EXPERIMENTAL	KL2	active_AT_K2	5	7	True	KL55_10_wcpI,KL63_08_wcsD,KL114_11_wcqZ,KL61_12_wcqZ,KL177_16,KL2_13,PROTEIN02_MOD_AC_K2
PROTEIN03_MOD_AC_K57	PROTEIN03_MOD_AC_K57	EXPERIMENTAL	KL57	active_AT_K57	8	5	True	KL10_15_wcsO,KL57_13_vanT,PROTEIN03_MOD_AC_K57,KL121_20_wcsO,KL62_12
KL113_09	KL113_09	KLOCI	KL113	KL113	3	3	False	KL1_11_wcsT,KL113_09,KL16_10_vatD
KL174_12_wcpF	KL174_12_wcpF	KLOCI	KL174	KL174	2	3	False	KL48_15_wcqE,KL174_12_wcpF,KL49_14_wcpF
KL43_15_wcpZ	KL43_15_wcpZ	KLOCI	KL43	KL43	12	3	False	KL175_21_wcpZ,KL110_16_wcpZ,KL43_15_wcpZ
KL177_17	KL177_17	KLOCI	KL177	KL177	11	2	False	KL177_17,KL52_15_wcpG
KL124_17_wclK	KL124_17_wclK	KLOCI	KL124	KL124	15	1	False	KL124_17_wclK
KL69_20_wcql	KL69_20_wcql	KLOCI	KL69	KL69	18	1	False	KL69_20_wcql
KL168_20	KL168_20	KLOCI	KL168	KL168	17	1	False	KL168_20
KL150_18	KL150_18	KLOCI	KL150	KL150	16	1	False	KL150_18
PROTEIN05_GWAS_AC_K111	PROTEIN05_GWAS_AC_K111	GWAS_BEST	KL111	gwas_AT_K111	10	1	True	PROTEIN05_GWAS_AC_K111
KL51_14_wcoZ	KL51_14_wcoZ	KLOCI	KL51	KL51	14	1	False	KL51_14_wcoZ
KL131_13_wcpI	KL131_13_wcpI	KLOCI	KL131	KL131	7	1	False	KL131_13_wcpI
PROTEIN01_MOD_AC_K1	PROTEIN01_MOD_AC_K1	EXPERIMENTAL	KL1	active_AT_K1	6	1	True	PROTEIN01_MOD_AC_K1
KL104_18	KL104_18	KLOCI	KL104	KL104	19	1	False	KL104_18
