source	target	evalue	pident	bitscore	nident	length	mismatch	gapopen	gaps	qcov	scov	qlen	slen	fragment-sharing	seq-identity	interaction
1_KL11	1_KL11	0.0	100.0	1489.0	724	724	0	0	0	1.0	1.0	724	724	large	high	pp
1_KL11	12_KL8	1.79e-118	34.846	363.0	261	749	405	18	83	1.0	1.0	724	691	large	low	pp
1_KL11	8_KL35	5.54e-114	42.259	344.0	202	478	242	7	34	0.628	0.969	724	482	large	low	pp
2_KL111	2_KL111	0.0	100.0	1140.0	566	566	0	0	0	1.0	1.0	566	566	large	high	pp
3_KL125	3_KL125	0.0	100.0	2058.0	1012	1012	0	0	0	1.0	1.0	1012	1012	large	high	pp
4_KL16	4_KL16	0.0	100.0	2016.0	993	993	0	0	0	1.0	1.0	993	993	large	high	pp
5_KL2	5_KL2	0.0	100.0	1469.0	717	717	0	0	0	1.0	1.0	717	717	large	high	pp
5_KL2	14_PROTEIN07_RBP_DAC_K2	0.0	96.792	1419.0	694	717	23	0	0	1.0	1.0	717	717	large	high	pp
5_KL2	6_KL24	2.7600000000000002e-173	42.779	506.0	314	734	373	13	47	0.979	0.982	717	732	large	low	pp
5_KL2	7_KL30	4.08e-110	33.107	341.0	244	737	411	17	82	0.986	0.986	717	695	large	low	pp
6_KL24	6_KL24	0.0	100.0	1499.0	732	732	0	0	0	1.0	1.0	732	732	large	high	pp
6_KL24	14_PROTEIN07_RBP_DAC_K2	7.640000000000001e-166	42.041	486.0	309	735	377	12	49	0.982	0.979	732	717	large	low	pp
6_KL24	7_KL30	2.32e-130	36.267	394.0	272	750	389	18	89	0.99	0.987	732	695	large	low	pp
7_KL30	7_KL30	0.0	100.0	1434.0	695	695	0	0	0	1.0	1.0	695	695	large	high	pp
7_KL30	14_PROTEIN07_RBP_DAC_K2	2.1899999999999998e-114	33.693	352.0	250	742	400	15	92	0.986	0.986	695	717	large	low	pp
8_KL35	8_KL35	0.0	100.0	994.0	482	482	0	0	0	1.0	1.0	482	482	large	high	pp
8_KL35	12_KL8	1.91e-87	43.305	274.0	152	351	195	4	4	0.724	0.505	482	691	large	low	pp
9_KL55	9_KL55	0.0	100.0	1866.0	926	926	0	0	0	1.0	1.0	926	926	large	high	pp
9_KL55	16_PROTEIN09_RBP_DAC_K55	0.0	61.898	890.0	463	748	265	7	20	0.792	0.886	926	839	large	high	pp
10_KL6	10_KL6	0.0	100.0	1211.0	596	596	0	0	0	1.0	1.0	596	596	large	high	pp
11_KL64	11_KL64	0.0	100.0	1201.0	587	587	0	0	0	1.0	1.0	587	587	large	high	pp
12_KL8	12_KL8	0.0	100.0	1415.0	691	691	0	0	0	1.0	1.0	691	691	large	high	pp
13_PROTEIN06_RBP_DAC_LPS4s	13_PROTEIN06_RBP_DAC_LPS4s	0.0	100.0	1786.0	859	859	0	0	0	1.0	1.0	859	859	large	high	pp
14_PROTEIN07_RBP_DAC_K2	14_PROTEIN07_RBP_DAC_K2	0.0	100.0	1471.0	717	717	0	0	0	1.0	1.0	717	717	large	high	pp
15_PROTEIN08_RBP_DAC_K26	15_PROTEIN08_RBP_DAC_K26	0.0	100.0	2047.0	993	993	0	0	0	1.0	1.0	993	993	large	high	pp
16_PROTEIN09_RBP_DAC_K55	16_PROTEIN09_RBP_DAC_K55	0.0	100.0	1701.0	839	839	0	0	0	1.0	1.0	839	839	large	high	pp
