source_node	target_node	seq_similarity	C_terminus	source_pair
BAN78446_1_KN2	UCR74083_1_K27	0.40226	included	virulent-virulent
617_77	UCR74083_1_K27	0.36636	included	prophage-virulent
BAN78446_1_KN2	617_77	0.3522	included	prophage-virulent
ALT58497_1_K47	BBF66867_1_KN3	0.556	not_included	virulent-virulent
YP_009153195_1_KN4	AXE28435_1_KN1	0.33113	included	virulent-virulent
YP_009153195_1_KN4	BBF66844_1_KN1	0.32441	included	virulent-virulent
0574_17	QOV05454_1_K64	0.29858	not_included	prophage-virulent
YP_009797016_1_K64	0574_17	0.29677	not_included	prophage-virulent
YP_009153202_1_K64	0574_17	0.26976	included	prophage-virulent
0496_72	YP_009153200_1_K35	0.27873	included	prophage-virulent
184_43	YP_009153199_1_K25	0.32317	included	prophage-virulent
1723_59	1091_44	0.25791	included	prophage-prophage
1724_71	1091_44	0.25889	included	prophage-prophage
BBF66868_1_K56	1091_44	0.26054	included	prophage-virulent
391_03	1251_37	0.27706	not_included	prophage-prophage
BBF66868_1_K56	1723_59	0.23774	included	prophage-virulent
BBF66868_1_K56	1724_71	0.2356299999999999	included	prophage-virulent
