name	proteinID	type	specificity	label	evidence	structure_cluster	order_index	protein_length
KL158_13_cysE	KL158_13_cysE	KLOCI	KL158	KL158	keyword,foldseek	1	0	200
KL82_11_wcqN	KL82_11_wcqN	KLOCI	KL82	KL82	keyword,foldseek	1	1	165
KL20_09	KL20_09	KLOCI	KL20	KL20	blastp,foldseek	1	2	172
KL132_17	KL132_17	KLOCI	KL132	KL132	keyword,foldseek	1	3	171
KL160_17_cysE	KL160_17_cysE	KLOCI	KL160	KL160	keyword,foldseek	1	4	171
KL8_08_wcsG	KL8_08_wcsG	KLOCI	KL8	KL8	keyword,foldseek	1	5	169
KL125_12_wcaG	KL125_12_wcaG	KLOCI	KL125	KL125	keyword,foldseek	1	6	164
KL151_09	KL151_09	KLOCI	KL151	KL151	keyword,foldseek	1	7	182
KL131_13_wcpI	KL131_13_wcpI	KLOCI	KL131	KL131	blastp,keyword,foldseek	1	8	173
KL48_15_wcqE	KL48_15_wcqE	KLOCI	KL48	KL48	blastp,keyword,foldseek	1	9	162
KL174_12_wcpF	KL174_12_wcpF	KLOCI	KL174	KL174	blastp,keyword,foldseek	1	10	145
KL49_14_wcpF	KL49_14_wcpF	KLOCI	KL49	KL49	blastp,keyword,foldseek	1	11	156
KL1_11_wcsT	KL1_11_wcsT	KLOCI	KL1	KL1	experimental,blastp,keyword,foldseek	1	12	170
KL113_09	KL113_09	KLOCI	KL113	KL113	blastp,keyword,foldseek	1	13	180
KL16_10_vatD	KL16_10_vatD	KLOCI	KL16	KL16	blastp,keyword,foldseek	1	14	181
KL143_16_wcsW	KL143_16_wcsW	KLOCI	KL143	KL143	blastp,keyword,foldseek	1	15	168
KL147_16	KL147_16	KLOCI	KL147	KL147	blastp,keyword,foldseek	1	16	168
KL4_12_wcsW	KL4_12_wcsW	KLOCI	KL4	KL4	blastp,keyword,foldseek	1	17	168
KL5_11	KL5_11	KLOCI	KL5	KL5	foldseek	1	18	182
KL144_15	KL144_15	KLOCI	KL144	KL144	blastp,foldseek	1	19	175
KL178_14	KL178_14	KLOCI	KL178	KL178	blastp,foldseek	1	20	175
KL58_13_wcqU	KL58_13_wcqU	KLOCI	KL58	KL58	blastp,keyword,foldseek	1	21	181
KL108_13	KL108_13	KLOCI	KL108	KL108	blastp,keyword,foldseek	1	22	182
KL121_13_wcqU	KL121_13_wcqU	KLOCI	KL121	KL121	blastp,keyword,foldseek	1	23	178
KL113_10	KL113_10	KLOCI	KL113	KL113	blastp,keyword,foldseek	1	24	180
KL6_10_wckB	KL6_10_wckB	KLOCI	KL6	KL6	blastp,keyword,foldseek	1	25	179
KL16_11_lacA	KL16_11_lacA	KLOCI	KL16	KL16	keyword,foldseek	1	26	183
KL54_10_wckB	KL54_10_wckB	KLOCI	KL54	KL54	blastp,keyword,foldseek	1	27	179
PROTEIN01_MOD_AC_K1	PROTEIN01_MOD_AC_K1	EXPERIMENTAL	KL1	active_AT_K1	experimental	1	28	307
KL55_10_wcpI	KL55_10_wcpI	KLOCI	KL55	KL55	blastp,keyword,foldseek	1	29	224
KL63_08_wcsD	KL63_08_wcsD	KLOCI	KL63	KL63	blastp,foldseek	1	30	190
KL114_11_wcqZ	KL114_11_wcqZ	KLOCI	KL114	KL114	blastp,keyword,foldseek	1	31	187
KL61_12_wcqZ	KL61_12_wcqZ	KLOCI	KL61	KL61	blastp,keyword,foldseek	1	32	185
KL177_16	KL177_16	KLOCI	KL177	KL177	blastp,keyword,foldseek	1	33	217
KL2_13	KL2_13	KLOCI	KL2	KL2	experimental,blastp,foldseek	1	34	222
PROTEIN02_MOD_AC_K2	PROTEIN02_MOD_AC_K2	EXPERIMENTAL	KL2	active_AT_K2	experimental	1	35	221
KL104_18	KL104_18	KLOCI	KL104	KL104	keyword	2	36	122
KL69_20_wcql	KL69_20_wcql	KLOCI	KL69	KL69	keyword	2	37	287
KL168_20	KL168_20	KLOCI	KL168	KL168	foldseek	2	38	254
KL150_18	KL150_18	KLOCI	KL150	KL150	keyword	2	39	140
KL124_17_wclK	KL124_17_wclK	KLOCI	KL124	KL124	keyword,foldseek	2	40	618
KL10_15_wcsO	KL10_15_wcsO	KLOCI	KL10	KL10	keyword,foldseek	2	41	264
KL57_13_vanT	KL57_13_vanT	KLOCI	KL57	KL57	experimental,blastp,foldseek	2	42	326
PROTEIN03_MOD_AC_K57	PROTEIN03_MOD_AC_K57	EXPERIMENTAL	KL57	active_AT_K57	experimental	2	43	326
KL121_20_wcsO	KL121_20_wcsO	KLOCI	KL121	KL121	blastp,keyword,foldseek	2	44	339
