source	target	interaction	tm_max	tm_norm_1	tm_norm_2	rmsd	tm_interval
KL2_13	PROTEIN02_MOD_AC_K2	structural_similarity	0.997	0.997	0.997	0.3056	high (0.90-1.00)
KL57_13_vanT	PROTEIN03_MOD_AC_K57	structural_similarity	0.9963	0.9963	0.9963	0.4201	high (0.90-1.00)
KL108_13	KL121_13_wcqU	structural_similarity	0.9958	0.974	0.9958	0.3258	high (0.90-1.00)
KL147_16	KL4_12_wcsW	structural_similarity	0.9956	0.9956	0.9956	0.321	high (0.90-1.00)
KL110_16_wcpZ	KL43_15_wcpZ	structural_similarity	0.9951	0.9951	0.9951	0.5056	high (0.90-1.00)
KL121_13_wcqU	KL58_13_wcqU	structural_similarity	0.9927	0.9927	0.9763	0.4351	high (0.90-1.00)
KL143_16_wcsW	KL4_12_wcsW	structural_similarity	0.9913	0.9913	0.9913	0.4607	high (0.90-1.00)
KL144_15	KL178_14	structural_similarity	0.9905	0.9905	0.9905	0.4926	high (0.90-1.00)
KL143_16_wcsW	KL147_16	structural_similarity	0.9904	0.9904	0.9904	0.4901	high (0.90-1.00)
KL142_16_wcqA	KL44_16_wcqA	structural_similarity	0.9877	0.9877	0.9817	0.84	high (0.90-1.00)
KL108_13	KL58_13_wcqU	structural_similarity	0.9858	0.9805	0.9858	0.9075	high (0.90-1.00)
KL132_20_wcpG	KL160_20_wcpG	structural_similarity	0.9856	0.9672	0.9856	0.8951	high (0.90-1.00)
KL106_17	KL22_17	structural_similarity	0.9841	0.9841	0.9812	1.1616	high (0.90-1.00)
KL116_17_wcpG	KL132_20_wcpG	structural_similarity	0.9827	0.9827	0.9514	0.9415	high (0.90-1.00)
KL132_17	KL160_17_cysE	structural_similarity	0.9802	0.9802	0.9802	0.8529	high (0.90-1.00)
KL160_17_cysE	KL20_09	structural_similarity	0.9783	0.9783	0.9727	1.1646	high (0.90-1.00)
KL116_17_wcpG	KL160_20_wcpG	structural_similarity	0.9746	0.9746	0.9615	1.1894	high (0.90-1.00)
KL114_11_wcqZ	KL61_12_wcqZ	structural_similarity	0.9709	0.9607	0.9709	1.2077	high (0.90-1.00)
KL113_10	KL6_10_wckB	structural_similarity	0.9687	0.9635	0.9687	1.1507	high (0.90-1.00)
KL132_17	KL20_09	structural_similarity	0.9681	0.9681	0.9626	1.2894	high (0.90-1.00)
KL106_17	KL4_03_wcuG	structural_similarity	0.9656	0.9656	0.9628	1.3965	high (0.90-1.00)
KL113_09	KL16_10_vatD	structural_similarity	0.964	0.964	0.9588	1.044	high (0.90-1.00)
KL157_16	KL167_17	structural_similarity	0.9636	0.9636	0.9511	1.6394	high (0.90-1.00)
KL16_11_lacA	KL54_10_wckB	structural_similarity	0.9632	0.9426	0.9632	1.2862	high (0.90-1.00)
KL175_21_wcpZ	KL43_15_wcpZ	structural_similarity	0.9583	0.9583	0.9452	1.5581	high (0.90-1.00)
KL110_16_wcpZ	KL175_21_wcpZ	structural_similarity	0.9574	0.9443	0.9574	1.5546	high (0.90-1.00)
KL22_17	KL4_03_wcuG	structural_similarity	0.9557	0.9557	0.9557	1.5051	high (0.90-1.00)
KL20_09	KL82_11_wcqN	structural_similarity	0.9549	0.9174	0.9549	1.2467	high (0.90-1.00)
KL160_17_cysE	KL82_11_wcqN	structural_similarity	0.9544	0.922	0.9544	1.3289	high (0.90-1.00)
KL137_14_wclK	KL35_16_wclK	structural_similarity	0.9542	0.9542	0.9209	1.6385	high (0.90-1.00)
KL30_15_wcuG	KL69_15_wcuG	structural_similarity	0.9513	0.9513	0.9409	1.9153	high (0.90-1.00)
KL113_10	KL16_11_lacA	structural_similarity	0.9499	0.9499	0.9345	1.1548	high (0.90-1.00)
KL24_13_wcuG	KL4_03_wcuG	structural_similarity	0.9496	0.9496	0.9496	0.9731	high (0.90-1.00)
KL16_11_lacA	KL6_10_wckB	structural_similarity	0.948	0.9276	0.948	1.2602	high (0.90-1.00)
KL137_14_wclK	KL49_11_wclK	structural_similarity	0.946	0.946	0.913	1.825	high (0.90-1.00)
KL132_17	KL82_11_wcqN	structural_similarity	0.9441	0.9123	0.9441	1.5334	high (0.90-1.00)
KL113_10	KL54_10_wckB	structural_similarity	0.94	0.9349	0.94	1.319	high (0.90-1.00)
KL165_12	KL134_12	structural_similarity	0.9394	0.9394	0.9181	1.4432	high (0.90-1.00)
