protein1	protein2	protein1_specificity	protein2_specificity	seq_similarity	coverage_category	C-terminus	category
617_77	KPN_B2_PHAGE139_M_PROTEIN_9	KL38	KL38	1.0	>=50%	included	same-specificity (prediction)
QOV05454_1_K64	YP_009797016_1_K64	KL64	KL64	0.99017	>=50%	included	same-specificity (all)
QOV05454_1_K64	YP_009797016_1_K64	KL64	KL64	0.99017	>=50%	included	same-specificity (virulent)
KPN_B13_PHAGE002_M_PROTEIN_56	0496_72	KL122	KL122	1.0	>=50%	included	same-specificity (prediction)
UPW42726_1_K2	QTP95996_1_K13/K2	KL2	KL13/K2	0.99449	>=50%	included	same-specificity (all)
UPW42726_1_K2	QTP95996_1_K13/K2	KL2	KL13/K2	0.99449	>=50%	included	same-specificity (virulent)
YP_009820105_1_K2	QTP95996_1_K13/K2	KL2	KL13/K2	0.9922799999999999	>=50%	included	same-specificity (all)
YP_009820105_1_K2	QTP95996_1_K13/K2	KL2	KL13/K2	0.9922799999999999	>=50%	included	same-specificity (virulent)
UPW42726_1_K2	YP_009820105_1_K2	KL2	KL2	0.99118	>=50%	included	same-specificity (all)
UPW42726_1_K2	YP_009820105_1_K2	KL2	KL2	0.99118	>=50%	included	same-specificity (virulent)
QUU29414_1_K2	YP_009820105_1_K2	KL2	KL2	0.9856699999999999	>=50%	included	same-specificity (all)
QUU29414_1_K2	YP_009820105_1_K2	KL2	KL2	0.9856699999999999	>=50%	included	same-specificity (virulent)
QUU29414_1_K2	UPW42726_1_K2	KL2	KL2	0.98346	>=50%	included	same-specificity (all)
QUU29414_1_K2	UPW42726_1_K2	KL2	KL2	0.98346	>=50%	included	same-specificity (virulent)
QTP95996_1_K13/K2	QUU29414_1_K2	KL13/K2	KL2	0.98236	>=50%	included	same-specificity (all)
QTP95996_1_K13/K2	QUU29414_1_K2	KL13/K2	KL2	0.98236	>=50%	included	same-specificity (virulent)
0574_17	KQQ_B1_PHAGE040_M_PROTEIN_36	KL14	KL14	1.0	>=50%	included	same-specificity (prediction)
1091_44	KPN_B20_PHAGE487_M_PROTEIN_8	KL64	KL64	0.99773	>=50%	included	same-specificity (prediction)
0367_12	KPN_B20_PHAGE048_M_PROTEIN_10	KL62	KL62	1.0	>=50%	included	same-specificity (prediction)
BBF66844_1_KN1	AXE28435_1_KN1	KN1	KN1	0.95854	>=50%	included	same-specificity (all)
BBF66844_1_KN1	AXE28435_1_KN1	KN1	KN1	0.95854	>=50%	included	same-specificity (virulent)
ALT58497_1_K47	QDF14644_1_K47	KL47	KL47	0.9836100000000001	>=50%	included	same-specificity (all)
ALT58497_1_K47	QDF14644_1_K47	KL47	KL47	0.9836100000000001	>=50%	included	same-specificity (virulent)
391_03	KPN_B6_PHAGE307_M_PROTEIN_10	KL3	KL3	0.97962	>=50%	included	same-specificity (prediction)
KPN_B20_PHAGE048_M_PROTEIN_10	0391_11	KL62	KL62	0.88902	>=50%	included	same-specificity (prediction)
0367_12	0391_11	KL62	KL62	0.88902	>=50%	included	same-specificity (all)
0367_12	0391_11	KL62	KL62	0.88902	>=50%	included	same-specificity (prophage)
1248_57	1441_47	KL23	KL23	0.9858	>=50%	included	same-specificity (all)
1248_57	1441_47	KL23	KL23	0.9858	>=50%	included	same-specificity (prophage)
1723_59	1724_71	KL60	KL60	0.9230800000000001	>=50%	included	same-specificity (all)
1723_59	1724_71	KL60	KL60	0.9230800000000001	>=50%	included	same-specificity (prophage)
1441_47	1921_77	KL23	KL9	0.9395699999999999	>=50%	included	distinct-specificity (prophage not produced)
1248_57	1921_77	KL23	KL9	0.93669	>=50%	included	distinct-specificity (prophage not produced)
1343_36	1091_44	KL64	KL64	0.95729	>=50%	included	same-specificity (prophage not produced)
KQS_B1_PHAGE068_M_PROTEIN_82	319_37	KL127	KL127	0.91047	>=50%	included	same-specificity (prediction)
321_74	319_37	KL127	KL127	0.97134	>=50%	included	same-specificity (prophage not produced)
YP_009302756_1_K1	YP_009098385_1_K1	KL1	KL1	0.9815699999999999	>=50%	included	same-specificity (all)
YP_009302756_1_K1	YP_009098385_1_K1	KL1	KL1	0.9815699999999999	>=50%	included	same-specificity (virulent)
YP_009098385_1_K1	REC_005_PROTEIN_56_KL1	KL1	KL1	0.9616	>=50%	included	same-specificity (all)
YP_009098385_1_K1	REC_005_PROTEIN_56_KL1	KL1	KL1	0.9616	>=50%	included	same-specificity (virulent)
QOV05502_1_K47	ALT58498_1_K47	KL47	KL47	0.98908	>=50%	included	same-specificity (all)
QOV05502_1_K47	ALT58498_1_K47	KL47	KL47	0.98908	>=50%	included	same-specificity (virulent)
YP_009302756_1_K1	REC_005_PROTEIN_56_KL1	KL1	KL1	0.95238	>=50%	included	same-specificity (all)
YP_009302756_1_K1	REC_005_PROTEIN_56_KL1	KL1	KL1	0.95238	>=50%	included	same-specificity (virulent)
1248_57	1409_59	KL23	KL23	0.90794	>=50%	included	same-specificity (all)
1248_57	1409_59	KL23	KL23	0.90794	>=50%	included	same-specificity (prophage)
1409_59	1441_47	KL23	KL23	0.8984099999999999	>=50%	included	same-specificity (all)
1409_59	1441_47	KL23	KL23	0.8984099999999999	>=50%	included	same-specificity (prophage)
REC_015_PROTEIN_54_KL2	APZ82768_1_K13/K2	KL2	KL13/K2	0.98614	>=50%	included	same-specificity (all)
REC_015_PROTEIN_54_KL2	APZ82768_1_K13/K2	KL2	KL13/K2	0.98614	>=50%	included	same-specificity (virulent)
QJI52632_K13/K2	REC_015_PROTEIN_54_KL2	KL13/K2	KL2	0.9757399999999999	>=50%	included	same-specificity (all)
QJI52632_K13/K2	REC_015_PROTEIN_54_KL2	KL13/K2	KL2	0.9757399999999999	>=50%	included	same-specificity (virulent)
QJI52632_K13/K2	APZ82768_1_K13/K2	KL13/K2	KL13/K2	0.9722700000000001	>=50%	included	same-specificity (all)
QJI52632_K13/K2	APZ82768_1_K13/K2	KL13/K2	KL13/K2	0.9722700000000001	>=50%	included	same-specificity (virulent)
873_60	1248_57	KL28	KL23	1.0	>=50%	included	distinct-specificity (prophage not produced)
1409_59	1921_77	KL23	KL9	0.87302	>=50%	included	distinct-specificity (prophage not produced)
1409_59	873_60	KL23	KL28	0.98736	>=50%	included	distinct-specificity (prophage not produced)
1441_47	873_60	KL23	KL28	0.9819499999999999	>=50%	included	distinct-specificity (prophage not produced)
ATI16495_1_K57	QTH79846_1_K57	KL57	KL57	0.89347	>=50%	included	same-specificity (all)
ATI16495_1_K57	QTH79846_1_K57	KL57	KL57	0.89347	>=50%	included	same-specificity (virulent)
914_77	321_71	KL32	KL127	0.9906699999999999	>=50%	included	distinct-specificity (prophage not produced)
KVV_B3_PHAGE102_M_PROTEIN_79	1724_71	KL60	KL60	0.78495	>=50%	included	same-specificity (prediction)
KVV_B3_PHAGE102_M_PROTEIN_79	1723_59	KL60	KL60	0.7822100000000001	>=50%	included	same-specificity (prediction)
YP_003347556_1_K21	YP_009198669_1_K21	KL21	KL21	0.8660899999999999	>=50%	included	same-specificity (all)
YP_003347556_1_K21	YP_009198669_1_K21	KL21	KL21	0.8660899999999999	>=50%	included	same-specificity (virulent)
1631_52	738_68	KL10	KL143	0.8206	>=50%	included	distinct-specificity (prophage not produced)
KPN_B7_PHAGE038_M_PROTEIN_70	914_74	KL62	KL62	0.96512	>=50%	included	same-specificity (prediction)
184_43	KPN_B8_PHAGE124_M_PROTEIN_72	KL111	KL111	0.8153400000000001	>=50%	included	same-specificity (prediction)
1190_71	1251_37	KL28	KL28	0.7781399999999999	>=50%	included	same-specificity (prophage not produced)
1855_60	184_43	KL25	KL111	0.9542700000000001	>=50%	included	distinct-specificity (prophage not produced)
319_37	KVV_B1_PHAGE226_M_PROTEIN_38	KL127	KL127	0.9892700000000001	>=50%	not_included	same-specificity (prediction)
KQS_B1_PHAGE218_M_PROTEIN_1	319_37	KL127	KL127	0.74751	>=50%	not_included	same-specificity (prediction)
YP_009153202_1_K64	KPN_B11_PHAGE329_M_PROTEIN_7	KL64	KL64	0.56201	>=50%	included	same-specificity (prediction)
876_57	1251_37	KL28	KL28	0.67675	>=50%	included	same-specificity (prophage not produced)
184_43	KPN_B7_PHAGE164_M_PROTEIN_57	KL111	KL25	0.75253	>=50%	included	distinct-specificity (prediction)
1251_37	1406_54	KL28	KL28	0.6639700000000001	>=50%	included	same-specificity (prophage not produced)
1251_37	KPN_B13_PHAGE067_M_PROTEIN_74	KL28	KL28	0.64275	>=50%	included	same-specificity (prediction)
1251_37	1344_72	KL28	KL64	0.70304	>=50%	included	distinct-specificity (prophage not produced)
1251_37	1248_60	KL28	KL28	0.71245	>=50%	included	same-specificity (prophage not produced)
1251_37	1409_62	KL28	KL28	0.71273	>=50%	included	same-specificity (prophage not produced)
BAN78446_1_KN2	UCR74083_1_K27	KN2	KL27	0.40226	>=50%	included	distinct-specificity (all)
BAN78446_1_KN2	UCR74083_1_K27	KN2	KL27	0.40226	>=50%	included	distinct-specificity (virulent)
QIW88225_1_K23	QOI68577_1_K23	KL23	KL23	0.6593800000000001	>=50%	included	same-specificity (all)
QIW88225_1_K23	QOI68577_1_K23	KL23	KL23	0.6593800000000001	>=50%	included	same-specificity (virulent)
YP_009797016_1_K64	KPN_B11_PHAGE329_M_PROTEIN_7	KL64	KL64	0.48886	>=50%	included	same-specificity (prediction)
QOV05454_1_K64	KPN_B11_PHAGE329_M_PROTEIN_7	KL64	KL64	0.48755000000000004	>=50%	included	same-specificity (prediction)
WOK01638_1_K62	0391_11	KL62	KL62	0.694529294117647	>=50%	included	same-specificity (all)
WOK01638_1_K62	0391_11	KL62	KL62	0.694529294117647	>=50%	included	same-specificity (prophage-virulent)
YP_009797016_1_K64	YP_009153202_1_K64	KL64	KL64	0.47204	>=50%	included	same-specificity (all)
YP_009797016_1_K64	YP_009153202_1_K64	KL64	KL64	0.47204	>=50%	included	same-specificity (virulent)
QOV05454_1_K64	YP_009153202_1_K64	KL64	KL64	0.47074	>=50%	included	same-specificity (all)
QOV05454_1_K64	YP_009153202_1_K64	KL64	KL64	0.47074	>=50%	included	same-specificity (virulent)
UZN24616_1_KN8	UFK09522_1_KN8	KN8	KN8	0.56419	>=50%	included	same-specificity (all)
UZN24616_1_KN8	UFK09522_1_KN8	KN8	KN8	0.56419	>=50%	included	same-specificity (virulent)
ATI16495_1_K57	AOZ65519_1_K57	KL57	KL57	0.55424	>=50%	included	same-specificity (all)
ATI16495_1_K57	AOZ65519_1_K57	KL57	KL57	0.55424	>=50%	included	same-specificity (virulent)
AOZ65519_1_K57	QTH79846_1_K57	KL57	KL57	0.5592900000000001	>=50%	included	same-specificity (all)
AOZ65519_1_K57	QTH79846_1_K57	KL57	KL57	0.5592900000000001	>=50%	included	same-specificity (virulent)
0391_11	914_74	KL62	KL62	0.5281119420783645	>=50%	included	same-specificity (all)
0391_11	914_74	KL62	KL62	0.5281119420783645	>=50%	included	same-specificity (prophage)
KPN_B2_PHAGE139_M_PROTEIN_9	UCR74083_1_K27	KL38	KL27	0.36636	>=50%	included	distinct-specificity (prediction)
617_77	UCR74083_1_K27	KL38	KL27	0.36636	>=50%	included	distinct-specificity (all)
617_77	UCR74083_1_K27	KL38	KL27	0.36636	>=50%	included	distinct-specificity (prophage-virulent)
KPN_B20_PHAGE048_M_PROTEIN_10	914_74	KL62	KL62	0.5264086201022147	>=50%	included	same-specificity (prediction)
0367_12	914_74	KL62	KL62	0.5264086201022147	>=50%	included	same-specificity (all)
0367_12	914_74	KL62	KL62	0.5264086201022147	>=50%	included	same-specificity (prophage)
WOK01638_1_K62	0367_12	KL62	KL62	0.69746	>=50%	not_included	same-specificity (all)
WOK01638_1_K62	0367_12	KL62	KL62	0.69746	>=50%	not_included	same-specificity (prophage-virulent)
WOK01638_1_K62	KPN_B20_PHAGE048_M_PROTEIN_10	KL62	KL62	0.69746	>=50%	not_included	same-specificity (prediction)
0391_11	KPN_B7_PHAGE038_M_PROTEIN_70	KL62	KL62	0.5576944038461538	>=50%	included	same-specificity (prediction)
0367_12	KPN_B7_PHAGE038_M_PROTEIN_70	KL62	KL62	0.5596165	>=50%	included	same-specificity (prediction)
BAN78446_1_KN2	KPN_B2_PHAGE139_M_PROTEIN_9	KN2	KL38	0.3522	>=50%	included	distinct-specificity (prediction)
BAN78446_1_KN2	617_77	KN2	KL38	0.3522	>=50%	included	distinct-specificity (all)
BAN78446_1_KN2	617_77	KN2	KL38	0.3522	>=50%	included	distinct-specificity (prophage-virulent)
APZ82804_1_K30/K69	YP_009153203_1_K30/K69	KL30/K69	KL30/K69	0.49546	>=50%	included	same-specificity (all)
