query	target	evalue	pident	bitscore	qlen	qstart	qend	slen	sstart	send	qcov	scov	bidir_cov_min	reaches_end	q_specificity	s_specificity	q_source	s_source	specificity_match	source_pair	pident_frac
617_77	KPN_B2_PHAGE139_M_PROTEIN_9	0.0	100.0	2604.0	1258	1	1258	1258	1	1258	1.0	1.0	1.0	True	KL38	KL38	prophage	prediction	True	prediction	1.0
QOV05454_1_K64	YP_009797016_1_K64	0.0	99.017	2063.0	1017	1	1017	1017	1	1017	1.0	1.0	1.0	True	KL64	KL64	virulent	virulent	True	virulent-virulent	0.99017
KPN_B13_PHAGE002_M_PROTEIN_56	0496_72	0.0	100.0	1993.0	967	1	967	968	2	968	1.0	0.9989669421487604	0.9989669421487604	True	KL122	KL122	prediction	prophage	True	prediction	1.0
1630_70	KVV_B2_PHAGE059_M_PROTEIN_71	0.0	100.0	1921.0	929	1	929	929	1	929	1.0	1.0	1.0	True	KL10	KL10	prophage_inactive	prediction	True	other	1.0
KPN_B2_PHAGE064_M_PROTEIN_80	1863_75	0.0	100.0	1918.0	927	1	927	927	1	927	1.0	1.0	1.0	True	KL7	KL7	prediction	prophage_inactive	True	other	1.0
UPW42726_1_K2	QTP95996_1_K13/K2	0.0	99.449	1865.0	907	1	907	907	1	907	1.0	1.0	1.0	True	KL2	KL13/K2	virulent	virulent	True	virulent-virulent	0.99449
YP_009820105_1_K2	QTP95996_1_K13/K2	0.0	99.228	1859.0	907	1	907	907	1	907	1.0	1.0	1.0	True	KL2	KL13/K2	virulent	virulent	True	virulent-virulent	0.9922799999999999
UPW42726_1_K2	YP_009820105_1_K2	0.0	99.118	1858.0	907	1	907	907	1	907	1.0	1.0	1.0	True	KL2	KL2	virulent	virulent	True	virulent-virulent	0.99118
1850_66	1849_60	0.0	93.219	1848.0	984	17	982	1007	20	1007	0.9817073170731707	0.9811320754716981	0.9811320754716981	True	KL36	KL36	prophage_notproduced	prophage_notproduced	True	other	0.93219
QUU29414_1_K2	YP_009820105_1_K2	0.0	98.567	1847.0	907	1	907	907	1	907	1.0	1.0	1.0	True	KL2	KL2	virulent	virulent	True	virulent-virulent	0.9856699999999999
QUU29414_1_K2	UPW42726_1_K2	0.0	98.346	1844.0	907	1	907	907	1	907	1.0	1.0	1.0	True	KL2	KL2	virulent	virulent	True	virulent-virulent	0.98346
QTP95996_1_K13/K2	QUU29414_1_K2	0.0	98.236	1843.0	907	1	907	907	1	907	1.0	1.0	1.0	True	KL13/K2	KL2	virulent	virulent	True	virulent-virulent	0.98236
0574_17	KQQ_B1_PHAGE040_M_PROTEIN_36	0.0	100.0	1803.0	873	2	873	872	1	872	0.9988545246277205	1.0	0.9988545246277205	True	KL14	KL14	prophage	prediction	True	prediction	1.0
1091_44	KPN_B20_PHAGE487_M_PROTEIN_8	0.0	99.773	1791.0	880	1	880	880	1	880	1.0	1.0	1.0	True	KL64	KL64	prophage	prediction	True	prediction	0.99773
0367_12	KPN_B20_PHAGE048_M_PROTEIN_10	0.0	100.0	1703.0	851	15	851	837	1	837	0.9835487661574618	1.0	0.9835487661574618	True	KL62	KL62	prophage	prediction	True	prediction	1.0
BBF66844_1_KN1	AXE28435_1_KN1	0.0	95.854	1610.0	820	2	820	820	1	820	0.998780487804878	1.0	0.998780487804878	True	KN1	KN1	virulent	virulent	True	virulent-virulent	0.95854
ALT58497_1_K47	QDF14644_1_K47	0.0	98.361	1590.0	793	1	793	793	1	793	1.0	1.0	1.0	True	KL47	KL47	virulent	virulent	True	virulent-virulent	0.9836100000000001
391_03	KPN_B6_PHAGE307_M_PROTEIN_10	0.0	97.962	1486.0	736	1	736	736	1	736	1.0	1.0	1.0	True	KL3	KL3	prophage	prediction	True	prediction	0.97962
453_72	KPN_B20_PHAGE026_M_PROTEIN_2	0.0	95.407	1474.0	762	1	762	762	1	762	1.0	1.0	1.0	True	KL14	KL14	prophage_notproduced	prediction	True	other	0.95407
KPN_B20_PHAGE048_M_PROTEIN_10	0391_11	0.0	88.902	1463.0	837	1	837	839	2	839	1.0	0.99880810488677	0.99880810488677	True	KL62	KL62	prediction	prophage	True	prediction	0.88902
0367_12	0391_11	0.0	88.902	1460.0	851	15	851	839	2	839	0.9835487661574618	0.99880810488677	0.9835487661574618	True	KL62	KL62	prophage	prophage	True	prophage-prophage	0.88902
1248_57	1441_47	0.0	98.58	1442.0	704	1	704	704	1	704	1.0	1.0	1.0	True	KL23	KL23	prophage	prophage	True	prophage-prophage	0.9858
1723_59	1724_71	0.0	92.308	1367.0	951	223	949	843	117	841	0.7644584647739222	0.8600237247924081	0.7644584647739222	True	KL60	KL60	prophage	prophage	True	prophage-prophage	0.9230800000000001
1344_72	KPN_B13_PHAGE067_M_PROTEIN_74	0.0	94.269	1365.0	698	1	698	698	1	698	1.0	1.0	1.0	True	KL64	KL28	prophage_notproduced	prediction	False	other	0.94269
1441_47	1921_77	0.0	93.957	1362.0	704	10	704	701	7	701	0.9872159090909091	0.9914407988587732	0.9872159090909091	True	KL23	KL9	prophage	prophage_notproduced	False	prophage_notproduced	0.9395699999999999
1248_57	1921_77	0.0	93.669	1358.0	704	10	704	701	7	701	0.9872159090909091	0.9914407988587732	0.9872159090909091	True	KL23	KL9	prophage	prophage_notproduced	False	prophage_notproduced	0.93669
1343_36	1091_44	0.0	95.729	1350.0	795	117	795	880	202	880	0.8540880503144654	0.7715909090909091	0.7715909090909091	True	KL64	KL64	prophage_notproduced	prophage	True	prophage_notproduced	0.95729
KQS_B1_PHAGE068_M_PROTEIN_82	319_37	0.0	91.047	1348.0	813	90	813	794	76	794	0.8905289052890529	0.9055415617128464	0.8905289052890529	True	KL127	KL127	prediction	prophage	True	prediction	0.91047
1343_36	KPN_B20_PHAGE487_M_PROTEIN_8	0.0	95.582	1348.0	795	117	795	880	202	880	0.8540880503144654	0.7715909090909091	0.7715909090909091	True	KL64	KL64	prophage_notproduced	prediction	True	other	0.9558199999999999
321_74	319_37	0.0	97.134	1331.0	663	1	663	794	132	794	1.0	0.8350125944584383	0.8350125944584383	True	KL127	KL127	prophage_notproduced	prophage	True	prophage_notproduced	0.97134
YP_009302756_1_K1	YP_009098385_1_K1	0.0	98.157	1313.0	651	1	651	651	1	651	1.0	1.0	1.0	True	KL1	KL1	virulent	virulent	True	virulent-virulent	0.9815699999999999
321_74	KQS_B1_PHAGE068_M_PROTEIN_82	0.0	95.928	1313.0	663	1	663	813	151	813	1.0	0.8154981549815498	0.8154981549815498	True	KL127	KL127	prophage_notproduced	prediction	True	other	0.95928
YP_009098385_1_K1	REC_005_PROTEIN_56_KL1	0.0	96.16	1285.0	651	1	651	651	1	651	1.0	1.0	1.0	True	KL1	KL1	virulent	virulent	True	virulent-virulent	0.9616
1406_54	1190_71	0.0	88.633	1285.0	695	1	695	695	1	695	1.0	1.0	1.0	True	KL28	KL28	prophage_notproduced	prophage_notproduced	True	other	0.88633
QOV05502_1_K47	ALT58498_1_K47	0.0	98.908	1284.0	641	1	641	641	1	641	1.0	1.0	1.0	True	KL47	KL47	virulent	virulent	True	virulent-virulent	0.98908
